t,x,y,z
0.0,0.00035605152421790625,0.9019028196848717,0.39876234652763176
0.032777777777777774,5.769684736330368e-05,0.901671763297524,0.3987586514948417
0.048074074074074075,-0.0002437328461074538,0.9015880262835069,0.39894155100955636
0.058271604938271604,-0.0005604762129053641,0.9015812628834133,0.39919057514800915
0.06555555555555555,-0.0008614978952419751,0.901617539388435,0.3994492622625212
0.07138271604938272,-0.0011559402485302834,0.9016777615064115,0.39971376626464944
0.07648148148148148,-0.0014573201431827127,0.9017564387479692,0.39999269936811815
0.08085185185185184,-0.0017501011421073465,0.9018450639031779,0.40027035651511
0.08522222222222221,-0.0020750146546307407,0.9019548447157516,0.40058595169479255
0.08886419753086419,-0.002369426381218781,0.9020636555129654,0.4008791595386397
0.09250617283950617,-0.002683476358138901,0.9021893135417979,0.40120055633397966
0.09614814814814815,-0.003014290841739922,0.9023329569558627,0.40155050477627424
0.09906172839506172,-0.0032883682725870947,0.9024616517584003,0.401851083759477
0.1019753086419753,-0.0035680816475082634,0.902603326344441,0.4021699180847639
0.10561728395061729,-0.003921017590773244,0.902799752386511,0.4025938729184662
0.10853086419753086,-0.004201769008905755,0.9029732462898031,0.40295305160541406
0.11144444444444444,-0.00447694642428262,0.9031620657647215,0.40332965301326484
0.11508641975308641,-0.0048067808844278435,0.9034207234602456,0.4038242657495851
0.11872839506172839,-0.005113021594213216,0.903705752705387,0.40434448779080395
0.12309876543209876,-0.005437353425718751,0.904084262878598,0.4050009695307651
0.12746913580246913,-0.005701211839111539,0.9045041796654865,0.4056904653425642
0.13912345679012345,-0.0060194856946692455,0.9058345649064177,0.40766992034205174
0.17044444444444443,-0.0037406844885848347,0.9108858409128366,0.41356463186466874
0.18574074074074073,-0.0014865686493044663,0.9140180880156025,0.41647678152004125
0.20030864197530862,0.0008580010087633188,0.9173204437341094,0.41921751275420466
0.21414814814814814,0.003077034500491724,0.9207331565076595,0.4218825194355502
0.22798765432098764,0.0053086053459380205,0.9244479596305598,0.42475382384009963
0.24109876543209877,0.007612543691938107,0.9282901416560829,0.4278230134908141
0.2520246913580247,0.0098801578230512,0.9317608845967903,0.4307677346892776
0.2614938271604938,0.012252593912306917,0.9349684237762578,0.43368353796239756
0.2687777777777778,0.014399092055816359,0.9375492354643492,0.43618786546654675
0.2760617283950617,0.01685319105512077,0.9402121863439425,0.4389371872644648
0.28188888888888886,0.01904184848308838,0.9423902093856364,0.441321918632794
0.28771604938271605,0.021424194649919678,0.9446016807767789,0.4438776279230526
0.2928148148148148,0.02365664077033431,0.9465588641326309,0.44625753821251496
0.29791358024691356,0.02601293417728339,0.9485334431949096,0.4487728150163897
0.3022839506172839,0.028118540412999736,0.9502385391273395,0.4510354948992424
0.3066543209876543,0.030290990443660012,0.9519551143653746,0.45339356336791053
0.3110246913580247,0.03251785382685345,0.953683913141185,0.4558416491728316
0.31539506172839504,0.03478687440108249,0.9554265700274013,0.4583719551516811
0.3197654320987654,0.037086693634624905,0.9571855848773583,0.4609742524195729
0.3241358024691358,0.039407469289001365,0.9589641286852187,0.46363607185774747
0.32850617283950617,0.041741416296778126,0.9607657698403458,0.466342986485544
0.3328765432098766,0.04408305997162222,0.9625941122494834,0.469078980571418
0.33724691358024694,0.04642916687748694,0.9644523401076074,0.47182691366510915
